		sentence_1	sentence_2	marker
4	97325	Unlike in business wanting something was not enough to fucking make it possible .	It came to family .	when
0	59930	It stopped beating for a moment .	I was dead in front of her for a second .	and
2	88035	Diego ducked in time to keep the blow from doing full damage .	The world spun around him .	but
0	12845	Keller nodded , left .	Then gathered up his lightweight jacket .	and
0	119085	His open , kindly face seemed very concerned .	He wore a squat , cylindrical hat that matched the orange and white of his robes .	and
2	34356	I know his threat was empty .	It still makes me anxious .	but
0	155815	I will let you go to one of them .	I will transport you .	and
2	154535	It was his mothers voice .	It seemed more distant than the mountains .	but
4	92111	`` i hate it .	People force us to behave in manifestly un-germanic and uncivilized ways .	when
3	12987	Then maybe , but otherwise you 'll just have to take a number . '' .	You can tell me you fear for your life .	if
0	16441	He had helped beowulf .	Was fearful about what this would mean for him .	and
0	40299	I rose from the chair .	Started walking into the darkness outside the light .	and
3	70507	Oh well , then i would love to have you work .	You are a fellow book lover .	if
2	131803	Nina did not know what to expect .	Automatically imagined the typical clich model photos : face in profile with interesting light , casual laughter , a head turned in sidelong glance .	but
0	114782	So i grinned , pulled logan back into the shadowy stacks .	Pressed my lips to his , ready to start the next chapter of my life at mythos academy .	and
1	95247	The way i dressed .	He told me my favorite sundresses were too sexy and invited too much attention .	because
0	91645	Like now , when she seated herself before laura 's computer , turned it on .	Quickly ascertained that it was in fact going `` online '' as it should .	and
2	123968	He 'd almost forgotten about that man .	Sarah had somehow brought him back , just as she had his nightmares .	but
2	32104	Came not from `` outer space '' from a parallel universe .	It just happened that the aliens looked like angels and beasts , and .	but
0	23853	She was keen-minded as trustworthy a scribe as they had .	He 'd seen sticks with more flesh on them than she had , but .	and
2	139660	The bulb was hot and bright , probably way too high a voltage for the old wiring in this firetrap .	It did light up the place .	but
2	36154	If she had brought any attitude at all , i would have just ignored her .	She genuinely sounded confused and like i was the nutter and not her .	but
2	60708	His daddy was a monster with street smarts .	This new guy has taken brutality to a new level that seems to have a strategy behind it .	but
2	42238	When it was open i gripped it tight in my hand .	Paused when i saw lucas ' hand make a patting motion in the air .	but
2	61577	Leah mentally wished she had the emergency kit which contained a high-powered flashlight .	Got her penlight out of her pocket .	but
2	4171	He laid me on my back .	His big , warm body stayed pressed close to mine and i watched his eyes open .	but
4	88765	I preferred nubile naked brunettes sprawled wantonly upon black satin sheets and giving the viewer a come-hither stare .	Faced with a long wait without comfort of nicotine .	when
1	151055	How much she cared about isaac .	She worried that allowing herself to depend on him would turn out to be her biggest mistake .	because
0	17887	If it had been spring , queen maeve would have looked like a child .	Been even more prone to tantrums than usual .	and
2	26069	The register crashed to the floor .	He got his legs out in front of him .	but
3	43234	To have a great career .	He can stay out of trouble long enough to do the work .	if
4	36745	There was some instinct in them to respect these ones , to fear them and stand in awe at the same time .	All vampires were created .	when
3	8298	Then they 'd succeeded .	They 'd intended to instill fear by their actions .	if
0	24429	The men had their guns .	Were forming a line in two rows , more gunslingers than there was room to stand side-by-side in the single lane of the inlet .	and
1	113037	That moved and shaped the great events in the world .	Sometimes it was fear , and not courage .	because
