,id,layer,accuracy,precision,recall,f1-score,epoche
0,0,0,0.6170212765957447,0.6170212765957447,0.6170212765957447,0.6170212765957447,0
1,1,1,0.5739978840954508,0.5739978840954508,0.5739978840954508,0.5739978840954508,0
2,2,2,0.5507229340543082,0.5507229340543082,0.5507229340543082,0.5507229340543082,0
3,3,3,0.5431997178793935,0.5431997178793935,0.5431997178793935,0.5431997178793935,0
4,4,4,0.5313271423533561,0.5313271423533561,0.5313271423533561,0.5313271423533561,0
5,5,5,0.5171035617726578,0.5171035617726578,0.5171035617726578,0.5171035617726578,0
6,6,6,0.5024097801810274,0.5024097801810274,0.5024097801810274,0.5024097801810274,0
7,0,0,0.6290114023745151,0.6290114023745151,0.6290114023745151,0.6290114023745151,100000
8,1,1,0.6207828846832021,0.6207828846832021,0.6207828846832021,0.6207828846832021,100000
9,2,2,0.6190196308922065,0.6190196308922065,0.6190196308922065,0.6190196308922065,100000
10,3,3,0.6171388268484778,0.6171388268484778,0.6171388268484778,0.6171388268484778,100000
11,4,4,0.6126719172446221,0.6126719172446221,0.6126719172446221,0.6126719172446221,100000
12,5,5,0.6078523568825673,0.6078523568825673,0.6078523568825673,0.6078523568825673,100000
13,6,6,0.5884565651816152,0.5884565651816152,0.5884565651816152,0.5884565651816152,100000
14,0,0,0.6301869049018456,0.6301869049018456,0.6301869049018456,0.6301869049018456,200000
15,1,1,0.6285412013635829,0.6285412013635829,0.6285412013635829,0.6285412013635829,200000
16,2,2,0.634183613494769,0.634183613494769,0.634183613494769,0.634183613494769,200000
17,3,3,0.6404137768896203,0.6404137768896203,0.6404137768896203,0.6404137768896203,200000
18,4,4,0.6311273069237099,0.6311273069237099,0.6311273069237099,0.6311273069237099,200000
19,5,5,0.6194898319031386,0.6194898319031386,0.6194898319031386,0.6194898319031386,200000
20,6,6,0.6246620430233925,0.6246620430233925,0.6246620430233925,0.6246620430233925,200000
21,0,0,0.6311273069237099,0.6311273069237099,0.6311273069237099,0.6311273069237099,300000
22,1,1,0.6280710003526507,0.6280710003526507,0.6280710003526507,0.6280710003526507,300000
23,2,2,0.6415892794169508,0.6415892794169508,0.6415892794169508,0.6415892794169508,300000
24,3,3,0.6521688021629246,0.6521688021629246,0.6521688021629246,0.6521688021629246,300000
25,4,4,0.6474667920536029,0.6474667920536029,0.6474667920536029,0.6474667920536029,300000
26,5,5,0.6247795932761255,0.6247795932761255,0.6247795932761255,0.6247795932761255,300000
27,6,6,0.631244857176443,0.631244857176443,0.631244857176443,0.631244857176443,300000
28,0,0,0.6344187140002351,0.6344187140002351,0.6344187140002351,0.6344187140002351,400000
