,layer,accuracy,precision,recall,f1-score
0,0,0.7794821450484722,0.7968467304212975,0.7530532486565706,0.774331282180083
1,1,0.795557737145662,0.8064109035840484,0.7804103566194431,0.7931976166832175
2,2,0.803043318198552,0.8135550516502897,0.7887151929653151,0.8009425772045144
3,3,0.806724751503252,0.8191031162908539,0.7896922325354176,0.8041288396965551
4,4,0.8248864891397718,0.8322950411163718,0.815828041035662,0.8239792771678798
5,5,0.8266044913486318,0.8333747823924397,0.8185148998534441,0.8258780036968577
6,6,0.8267272057921218,0.8324243926623699,0.8202247191011236,0.8262795275590552
0,0,0.7760461406307523,0.7942931258106355,0.747923790913532,0.7704113724996854
1,1,0.7900355871886121,0.8009598383430159,0.7745481191988276,0.7875325965478703
2,2,0.795925880476132,0.8079554091715226,0.7789447972642892,0.7931849272478547
3,3,0.806602037059762,0.8172883064516129,0.7921348314606742,0.8045150086827091
4,4,0.8288133513314517,0.8311656441717792,0.8273082559843674,0.8292324641939038
5,5,0.8293042091054117,0.8341161928306551,0.824132877381534,0.8290944833517631
6,6,0.8288133513314517,0.8334568816407215,0.8238886174890083,0.8286451295909594
0,0,0.7785004295005522,0.7987470634299139,0.7474352711284807,0.7722397476340693
1,1,0.7812001472573322,0.7943949044585987,0.7616023448949683,0.7776530739493703
2,2,0.796784881580562,0.8112870275791624,0.7760136785539814,0.7932584269662921
3,3,0.8040250337464719,0.8166370783667258,0.7865168539325843,0.8012940151797935
4,4,0.8258682046876917,0.83213310156444,0.8185148998534441,0.8252678241595862
5,5,0.8311449257577617,0.836552748885587,0.8251099169516365,0.8307919331037875
6,6,0.8291814946619217,0.8322675848499754,0.8265754763067904,0.8294117647058823
0,0,0.7756779973002822,0.7938278008298755,0.7476795310210064,0.770062893081761
1,1,0.7843907227880722,0.7971014492753623,0.7657547630679042,0.7811137411237075
2,2,0.796048594919622,0.8044566850275413,0.7848070346849048,0.7945103857566765
3,3,0.8058657503988219,0.8135297054418372,0.7960429897410846,0.8046913580246913
4,4,0.8177690514173518,0.8240993788819876,0.8102100635075721,0.8170957014410641
5,5,0.8204687691741318,0.8196840826245444,0.8238886174890083,0.8217809721037885
6,6,0.8239047735918518,0.8251406211787723,0.824132877381534,0.8246364414029084
0,0,0.7764142839612223,0.7953718148725949,0.7471910112359551,0.7705289672544081
1,1,0.7863541538839122,0.8006644518272426,0.765266243282853,0.7825652554015237
2,2,0.7945760215977421,0.8047858942065491,0.7804103566194431,0.7924107142857143
3,3,0.800711743772242,0.8061477441745166,0.794333170493405,0.8001968503937008
4,4,0.8104061848079519,0.8132219218481199,0.8082559843673669,0.810731348768835
5,5,0.8198551969566819,0.8226044226044226,0.8177821201758672,0.820186183243508
6,6,0.8221867713829918,0.8209172530939093,0.8263312164142648,0.8236153377967135
